Order,Title,New_Title,Definition
1,"Not my circus, not my monkeys","Not my circus, not my monkeys","This troublesome, burdensome, or volatile situation is none of my concern, and thus I refuse to get involved in it. A loan translation of the Polish idiom "
2,Waiting with baited breath,Wait with bated breath,To remain in a state of eager anticipation (of or for something). 
3,Don’t hold your breath,Don't hold your breath,Don't expect something to happen. (The idea being that one couldn't hold one's breath long enough for the unlikely thing to happen.) 
4,People in glass houses shouldn’t throw stones,People (who live) in glass houses shouldn't throw stones.," People who are vulnerable to criticism should not criticize others, especially not for the faults that they themselves have (since such criticism will likely be returned). "
5,Don’t look a gift horse in the mouth,Don't look a gift horse in the mouth,"If you receive a gift, do so graciously, without voicing criticisms. The saying is attributed to St. Jerome and refers to the practice of looking at a horse's teeth to determine its age. "
6,Don’t count your chickens before they hatch,Don't count your chickens before they hatch.," Don't make plans based on future events, outcomes, or successes that might not come to pass. "
7,Don’t keep all your eggs in one basket,,
8,A bird in the hand is worth two in the bush,A bird in the hand is worth two in the bush, It is better to have something less valuable than to pursue something more valuable that may not be able to be obtained. 
9,There’s more than one way to skin a cat,There's more than one way to skin a cat, There are many methods one may employ in achieving one's ends. 
10,Let the cat out of the bag,Let the cat out of the bag,To reveal a secret. 
11,Open a can of worms,Open (up) a can of worms,"To initiate, instigate, or reveal a situation that is or is likely to become very complicated or problematic or that will have a negative outcome. "
12,Bull in a china shop,A bull in a china shop,Someone who is aggressively reckless and clumsy in a situation that requires delicacy and care. 
13,One trick pony,A one-trick pony,"A person, group, or thing that is known for or limited to only one unique or noteworthy skill, talent, ability, quality, area of success, etc. "
14,Don’t piss on my leg and tell me it’s raining,,
15,Too many chefs in the kitchen,Too many chefs in the kitchen,"Too many people are trying to control, influence, or work on something, with the quality of the final product suffering as a result. (A variation of the more common phrase, ""Too many chefs spoil the broth/stew/soup."") "
16,If you can’t handle the heat get out of the kitchen,,
17,Running on fumes,Running on fumes,"Continuing to operate with no or very little enthusiasm, energy, or resources left. A reference to a car that has nearly run out of fuel. "
18,One bad apple spoils the bunch,One bad apple spoils the (whole) bunch," It only takes one person, thing, element, etc., to ruin the entire group, situation, project, etc. Refers to the fact that a rotting apple can cause other apples in close proximity to begin to rot as well. "
19,The cream rises to the top,The cream (always) rises to the top,"Those with the most skill, the best work ethic, or the strongest moral character will inevitably find success in life. "
20,Cut from a different cloth,,
21,Don’t be a stick in the mud,,
22,Don’t rain on my parade,Don't rain on (one's) parade,Don't ruin one's plans or temper one's excitement. 
23,Even the darkest storm cloud has a silver lining,,
24,Mess with a bull you get the horn,,
25,It’s always darkest before dawn,,
26,When it rains it pours,"When it rains, it pours"," When something good or bad happens, similarly good or bad things tend to follow. "
27,Time waits for no man,,
28,Even a broken clock is right twice a day,,
29,For whom the bell tolls,Background,Ernest Hemingway wrote 
30,Make hay while the sun is shining,Make hay while the sun is shining,To take advantage of favorable conditions; to make the most of an opportunity when it is available. 
31,Mellow is the man who knows what he’s missing,,
32,Can’t teach an old dog new tricks,It's hard to teach an old dog new tricks,"It is exceptionally difficult to teach some new skill or behavior to someone, especially an older person, who is already firmly set in their ways. "
33,Hindsight’s 20/20,Hindsight is (always) 20/20,It is easier to clearly reevaluate past actions or decisions than when they are being made or done; things are clearer or more obvious when they are reflected upon. A reference to the visual acuity of normal eyesight (20/20 vision). 
34,Give a mouse a cookie and he’ll ask for a glass of milk,,
35,Give an inch and they take a mile,,
36,The more the merrier,The more the merrier,More people will make something more enjoyable. Often used to welcome one to join a group or activity. 
37,Measure twice cut once,"Measure twice, cut once",An axiom that encourages careful first steps in order to avoid extra work later on. 
38,"Give a man a fish, feed him for a day; teach a man to fish, feed him for a lifetime",,
39,You can bring a horse to water but can’t make it drink,,
40,One man’s trash is another man’s treasure,One man's trash is another man's treasure, What one person may consider worthless could be highly prized or valued by someone else. 
41,Burning the candle at both ends,Burn (one's)/the candle at both ends,"To overwork or exhaust oneself by doing too many things, especially both late at night and early in the morning. "
42,Polishing a turd,Polish a turd," To make something unpleasant seem more appealing than it really is—which is often a futile effort. ""Turd"" is a slang term for a piece of feces. "
43,"Put lipstick on a pig, its still a pig",,
44,One step forward two steps back,,
45,It’s not over till the fat lady sings,It ain't over till/until the fat lady sings,"The final outcome cannot be assumed or determined until a given situation, event, etc., is completely finished. (""Ain't"" is a colloquial contraction of ""is not."") The phrase refers to the stereotypically stout female sopranos of the opera, particularly the Valkyrie Brünnhilde, whose aria concludes Richard Wagner's opera cycle "
46,Heavy is the head that wears the crown,,
47,Pick your poison,Pick your poison,1. Tell me what alcoholic beverage you would like to drink. 
48,An axe to grind,An ax(e) to grind,1. A complaint or dispute that one feels compelled to discuss. 
49,Big shoes to fill,Big shoes to fill,A role vacated or left behind by someone who was exceptional in their performance and set very high standards as a result. 
50,The apple doesn’t fall far from the tree,The apple does not fall far from the tree,Said when someone is displaying traits or behaving in the same way as their relatives (especially parents). 
51,Chip off the old block,A chip off the old block,Someone whose character or personality resembles that of their parent. 
52,Chip on your shoulder,A chip on (one's) shoulder,An attitude that leads one to become combative or easily angered. 
53,Reinvent the wheel,Reinvent the wheel,"To do something in a wholly and drastically new way, often unnecessarily. (Usually used in negative constructions.) "
54,Two peas in a pod,Two peas in a pod,"Two people who are very similar, typically in interests, dispositions, or beliefs. "
55,Monkey on your back,Monkey on (one's) back,1. 
56,Big fish in a small pond,A big fish in a small pond,"A situation in which one person has more power, influence, knowledge, or experience than others within a small group. It often implies that the person may not have as much clout in ""a bigger pond,"" i.e., a larger group or arena of some kind. "
57,When pigs fly,When pigs fly,At a point in time that will never come to pass. (Used to show skepticism or cynicism over some hypothetical situation or outcome.) 
58,When hell freezes over,When hell freezes over,Never; at no time. 
59,Out of the frying pan and into the fire,,
60,The pot calling the kettle black,The pot calling the kettle black,A situation in which a person accuses someone of or criticizes someone for something that they themselves are guilty of. 
61,Frog in boiling water,,
62,You gotta kiss a lot of frogs to find a prince,,
63,Bat out of hell,,
64,Going to hell in a hand basket,Go to hell in a handbasket,To be in an extremely and increasingly bad or ruinous condition; to be on the inevitable path to utter failure or ruin. 
65,Bite off more then you can chew,,
66,The bigger they are the harder they fall,"The bigger they are, the harder they fall"," Those who are exceptionally large, powerful, or influential will have more to lose when they fail, and their failure will be all the more dramatic or spectacular because of it. "
67,The hair of the dog that bit you,The hair of the dog (that bit you),An alcoholic drink consumed to remedy a hangover. The phrase comes from the notion that literally rubbing the hair of the dog that bit you on the wound would help it to heal. 
68,Wish in one hand and shit in the other,,
69,All who wander are not lost,,
70,All that glitters is not gold,All that glitters is not gold,Things that have an outward appeal are often not as beautiful or valuable as they seem. 
71,Diamond in the rough,Diamond in the rough,A person or thing with exceptional qualities or characteristics that cannot be seen from the surface. 
72,Leave no stone unturned,Leave no stone unturned,1. To look for something in every possible place. 
73,All holds barred,,
74,Throw the baby out with the bath water,Throw the baby out with the bath,"To discard something valuable or important while disposing of something considered worthless, especially an outdated idea or form of behavior. The phrase is often used in the negative as a warning against such thoughtless behavior. "
75,Everything but the kitchen sink,Everything but the kitchen sink,"Nearly everything one can reasonably imagine; many different things, often to the point of excess or redundancy. "
76,Slow and steady wins the race,Slow and steady wins the race," Persistent, consistent, and diligent progress, even if it is somewhat slow, will produce better results than rushing to get somewhere or achieve something, as the latter can result in mistakes or may prove unsustainable or unreliable. Derived from the classic Aesop fable of ""The Tortoise and the Hare,"" in which the titular tortoise is able to beat the hare in a race because the hare, overconfident in his superior speed, decides to take a nap along the way. "
77,Two sides to to the same coin,,
78,Play the hand you’re dealt,Play the hand (one) is dealt,"To accept, deal with, and make the most of one's current situation or circumstances; to make use of that which one is afforded or has available. "
79,When life gives you lemons make lemonade,"When life gives you lemons, make lemonade", Focus on the good in a bad situation and take action accordingly. 
80,Put a pin in it,Put a pin in it,"To take a break from discussing some topic, with plans to resume the discussion later. "
81,The cherry on top,Cherry on top,"The flourish that caps something off (much like a cherry tops off an ice cream sundae). Sometimes used in the phrase ""pretty please with a cherry on top."" "
82,Icing on the cake,The icing on the cake,An additional benefit or positive aspect to something that is already considered positive or beneficial. 
83,The squeaky wheel gets the grease,The squeaky wheel gets the grease, The person complaining or protesting the loudest or most frequently is the one who will receive the most attention from others. 
84,Raised nails get pounded,,
85,Softer than a baby’s bottom,,
86,Hell or high water,By hell or high water,"By any means necessary; regardless of any difficulty, problem, or obstacle. "
87,Stuck between a rock and a hard place,,
88,Airing out your dirty laundry.,,
89,Skeletons in your closet,Skeleton in the/(one's) closet,An embarrassing or shameful secret. Primarily heard in US. 
90,Skating on thin ice,Skating on thin ice,"Engaged in some activity or behavior that is very risky, dangerous, or likely to cause a lot of trouble. "
