title_old,title_new,definition," day"," owner"
"Not my circus, not my monkeys","Not my circus, not my monkeys","This troublesome, burdensome, or volatile situation is none of my concern, and thus I refuse to get involved in it. A loan translation of the Polish idiom ","2023-07-13","Eve"
Waiting with baited breath,Wait with bated breath,"To remain in a state of eager anticipation (of or for something). ","2023-07-13","Eve"
Don’t hold your breath,Don't hold your breath,Don't expect something to happen. (The idea being that one couldn't hold one's breath long enough for the unlikely thing to happen.),"2023-07-13",
People in glass houses shouldn’t throw stones,People (who live) in glass houses shouldn't throw stones.,"People who are vulnerable to criticism should not criticize others, especially not for the faults that they themselves have (since such criticism will likely be returned).","2023-07-13",
Don’t look a gift horse in the mouth,Don't look a gift horse in the mouth,"If you receive a gift, do so graciously, without voicing criticisms. The saying is attributed to St. Jerome and refers to the practice of looking at a horse's teeth to determine its age. ","2023-07-13",
Don’t count your chickens before they hatch,Don't count your chickens before they hatch.,"Don't make plans based on future events, outcomes, or successes that might not come to pass. ","2023-07-13",
Don’t keep all your eggs in one basket,put all (one's) eggs in one basket,"To invest, devote, or commit all of one's energy or resources into a single venture, opportunity, or goal, generally at the risk of losing everything in the event that that thing fails or does not come to fruition.","2023-07-13",
A bird in the hand is worth two in the bush,A bird in the hand is worth two in the bush,"It is better to have something less valuable than to pursue something more valuable that may not be able to be obtained. ","2023-07-13",
There’s more than one way to skin a cat,There's more than one way to skin a cat,"There are many methods one may employ in achieving one's ends. ","2023-07-13","Miles"
Let the cat out of the bag,Let the cat out of the bag,"To reveal a secret. ","2023-07-13",
Open a can of worms,Open (up) a can of worms,"To initiate, instigate, or reveal a situation that is or is likely to become very complicated or problematic or that will have a negative outcome. ","2023-07-13",
Bull in a china shop,A bull in a china shop,"Someone who is aggressively reckless and clumsy in a situation that requires delicacy and care. ","2023-07-13","Miles"
One trick pony,A one-trick pony,"A person, group, or thing that is known for or limited to only one unique or noteworthy skill, talent, ability, quality, area of success, etc. ","2023-07-13",
Don’t piss on my leg and tell me it’s raining,Piss on someone's leg and tell them it's raining,To tell someone an obvious lie.,"2023-07-13","Miles"
Too many chefs in the kitchen,Too many chefs in the kitchen,"Too many people are trying to control, influence, or work on something, with the quality of the final product suffering as a result. (A variation of the more common phrase, ""Too many chefs spoil the broth/stew/soup."") ","2023-07-13","Miles"
If you can’t handle the heat get out of the kitchen,"If you can't stand the heat, get out of the kitchen","Used as a way to tell someone that they should either stop complaining about a difficult or unpleasant activity, or stop doing it","2023-07-13","MIles"
Running on fumes,Running on fumes,"Continuing to operate with no or very little enthusiasm, energy, or resources left. A reference to a car that has nearly run out of fuel. ","2023-07-13",
One bad apple spoils the bunch,One bad apple spoils the (whole) bunch,"It only takes one person, thing, element, etc., to ruin the entire group, situation, project, etc. Refers to the fact that a rotting apple can cause other apples in close proximity to begin to rot as well. ","2023-07-13","Eve"
The cream rises to the top,The cream (always) rises to the top,"Those with the most skill, the best work ethic, or the strongest moral character will inevitably find success in life. ","2023-07-13","Miles"
Cut from same cloth,,Very similar in characteristics or behaviors.,"2023-07-13",
Stick in the mud,Stick-in-the-mud,"Someone who is considered boring, often due to unpopular or outdated beliefs.","2023-07-13","Miles"
Don’t rain on my parade,Don't rain on (one's) parade,"Don't ruin one's plans or temper one's excitement. ","2023-07-13","Eve"
Even the darkest storm cloud has a silver lining,,"The potential for something positive or beneficial to result from a negative situation. Often used in the phrase ""every cloud has a silver lining."" (A silver lining on a cloud is an indication that the sun is behind it.)","2023-07-13","Eve"
Mess with a bull you get the horn,"If you mess with the bull, you get the horns","If you anger, irritate, or provoke someone enough, you will induce some hostile retaliation or emotional reaction.","2023-07-13","Miles"
It’s always darkest before dawn,it's (always) darkest (just) before the dawn,"proverb The worst part of an experience, situation, period of time, etc., usually happens just before things get better.","2023-07-13","Eve"
When it rains it pours,"When it rains, it pours","When something good or bad happens, similarly good or bad things tend to follow. ","2023-07-13",
Time and tide wait for no man,time and tide wait for no one,The opportunities of life will pass you by if you delay or procrastinate in taking advantage of them.,"2023-07-13",
Even a broken clock is right twice a day,a broken clock is right twice a day,"Even people who are usually wrong can be right sometimes, even if just by accident. From the idea that the stationary hands of a broken clock will still display the correct time at two points during the 24-hour cycle.","2023-07-13","Miles"
For whom the bell tolls,Background,"Ernest Hemingway wrote ","2023-07-13","Miles"
Make hay while the sun is shining,Make hay while the sun is shining,"To take advantage of favorable conditions; to make the most of an opportunity when it is available. ","2023-07-13","Eve"
Mellow is the man who knows what he’s missing,,,"2023-07-13","Eve"
Can’t teach an old dog new tricks,It's hard to teach an old dog new tricks,"It is exceptionally difficult to teach some new skill or behavior to someone, especially an older person, who is already firmly set in their ways. ","2023-07-13",
Hindsight’s 20/20,Hindsight is (always) 20/20,"It is easier to clearly reevaluate past actions or decisions than when they are being made or done; things are clearer or more obvious when they are reflected upon. A reference to the visual acuity of normal eyesight (20/20 vision). ","2023-07-13",
Give a mouse a cookie and he’ll ask for a glass of milk,,,"2023-07-13","Eve"
Give an inch and they take a mile,give an inch and they'll take a mile,"Make a small concession and they'll take advantage of you. For example, I told her she could borrow the car for one day and she's been gone a week-give an inch! This expression, in slightly different form, was already a proverb in John Heywood's 1546 collection, ""Give him an inch and he'll take an ell,"" and is so well known it is often shortened (as in the example). The use of mile dates from about 1900. ","2023-07-13","Miles"
The more the merrier,The more the merrier,"More people will make something more enjoyable. Often used to welcome one to join a group or activity. ","2023-07-13",
Measure twice cut once,"Measure twice, cut once","An axiom that encourages careful first steps in order to avoid extra work later on. ","2023-07-13","Miles"
"Give a man a fish, feed him for a day; teach a man to fish, feed him for a lifetime",,Simply giving someone a fish is not as helpful to them in the long run as teaching them how to fish.,"2023-07-13","Eve"
You can bring a horse to water but can’t make it drink,,"You can give someone an advantage or provide them with an opportunity, but you can't force them to do something if they don't want to","2023-07-13","Eve"
One man’s trash is another man’s treasure,One man's trash is another man's treasure,"What one person may consider worthless could be highly prized or valued by someone else. ","2023-07-13",
Burning the candle at both ends,Burn (one's)/the candle at both ends,"To overwork or exhaust oneself by doing too many things, especially both late at night and early in the morning. ","2023-07-13",
Polishing a turd,Polish a turd,"To make something unpleasant seem more appealing than it really is—which is often a futile effort. ""Turd"" is a slang term for a piece of feces. ","2023-07-13","Miles"
"Put lipstick on a pig, its still a pig",,Making superficial or cosmetic changes to a product in a futile effort to disguise its fundamental failings,"2023-07-13","Eve"
One step forward two steps back," one step forward, two steps back ","Marked by a small amount progress that is then eradicated by a large amount of setbacks, problems, or difficulties.","2023-07-13",
It’s not over till the fat lady sings,It ain't over till/until the fat lady sings,"The final outcome cannot be assumed or determined until a given situation, event, etc., is completely finished. (""Ain't"" is a colloquial contraction of ""is not."") The phrase refers to the stereotypically stout female sopranos of the opera, particularly the Valkyrie Brünnhilde, whose aria concludes Richard Wagner's opera cycle ","2023-07-13",
Heavy is the head that wears the crown,heavy hangs the head that wears a/the crown,"The person who has the most power or authority suffers the largest amount of stress, anxiety, doubt, and worry. A misquote of the line ""Uneasy lies the head that wears a crown,"" from Shakespeare's Henry IV, Part II. ","2023-07-13","Eve"
Pick your poison,Pick your poison,,"2023-07-13",
An axe to grind,An ax(e) to grind,"A complaint or dispute that one feels compelled to discuss. ","2023-07-13",
Big shoes to fill,Big shoes to fill,"A role vacated or left behind by someone who was exceptional in their performance and set very high standards as a result. ","2023-07-13",
The apple doesn’t fall far from the tree,The apple does not fall far from the tree,"Said when someone is displaying traits or behaving in the same way as their relatives (especially parents). ","2023-07-13",
Chip off the old block,A chip off the old block,"Someone whose character or personality resembles that of their parent. ","2023-07-13",
Chip on your shoulder,A chip on (one's) shoulder,"An attitude that leads one to become combative or easily angered. ","2023-07-13",
Reinvent the wheel,Reinvent the wheel,"To do something in a wholly and drastically new way, often unnecessarily. (Usually used in negative constructions.) ","2023-07-13",
Two peas in a pod,Two peas in a pod,"Two people who are very similar, typically in interests, dispositions, or beliefs. ","2023-07-13",
Monkey on your back,Monkey on (one's) back,,"2023-07-13",
Big fish in a small pond,A big fish in a small pond,"A situation in which one person has more power, influence, knowledge, or experience than others within a small group. It often implies that the person may not have as much clout in ""a bigger pond,"" i.e., a larger group or arena of some kind. ","2023-07-13",
When pigs fly,When pigs fly,"At a point in time that will never come to pass. (Used to show skepticism or cynicism over some hypothetical situation or outcome.) ","2023-07-13",
When hell freezes over,When hell freezes over,"Never; at no time. ","2023-07-13",
Out of the frying pan and into the fire,,,"2023-07-13","Eve"
The pot calling the kettle black,The pot calling the kettle black,"A situation in which a person accuses someone of or criticizes someone for something that they themselves are guilty of. ","2023-07-13","Eve"
Frog in boiling water,,,"2023-07-13",
You gotta kiss a lot of frogs to find a prince,,,"2023-07-13",
Bat out of hell,,,"2023-07-13",
Going to hell in a hand basket,Go to hell in a handbasket,"To be in an extremely and increasingly bad or ruinous condition; to be on the inevitable path to utter failure or ruin. ","2023-07-13",
Bite off more then you can chew,,,"2023-07-13",
The bigger they are the harder they fall,"The bigger they are, the harder they fall","Those who are exceptionally large, powerful, or influential will have more to lose when they fail, and their failure will be all the more dramatic or spectacular because of it. ","2023-07-13",
The hair of the dog that bit you,The hair of the dog (that bit you),"An alcoholic drink consumed to remedy a hangover. The phrase comes from the notion that literally rubbing the hair of the dog that bit you on the wound would help it to heal. ","2023-07-13","Eve"
Wish in one hand and shit in the other,,,"2023-07-13","Miles"
All who wander are not lost,,,"2023-07-13",
All that glitters is not gold,All that glitters is not gold,"Things that have an outward appeal are often not as beautiful or valuable as they seem. ","2023-07-13",
Diamond in the rough,Diamond in the rough,"A person or thing with exceptional qualities or characteristics that cannot be seen from the surface. ","2023-07-13",
Leave no stone unturned,Leave no stone unturned,"To look for something in every possible place. ","2023-07-13",
No holds barred,No-holds-barred,free of restrictions or hampering conventions,"2023-07-13",
Throw the baby out with the bath water,Throw the baby out with the bath,"To discard something valuable or important while disposing of something considered worthless, especially an outdated idea or form of behavior. The phrase is often used in the negative as a warning against such thoughtless behavior. ","2023-07-13","Eve"
Everything but the kitchen sink,Everything but the kitchen sink,"Nearly everything one can reasonably imagine; many different things, often to the point of excess or redundancy. ","2023-07-13",
Slow and steady wins the race,Slow and steady wins the race,"Persistent, consistent, and diligent progress, even if it is somewhat slow, will produce better results than rushing to get somewhere or achieve something, as the latter can result in mistakes or may prove unsustainable or unreliable. Derived from the classic Aesop fable of ""The Tortoise and the Hare,"" in which the titular tortoise is able to beat the hare in a race because the hare, overconfident in his superior speed, decides to take a nap along the way. ","2023-07-13",
Two sides to to the same coin,,,"2023-07-13",
Play the hand you’re dealt,Play the hand (one) is dealt,"To accept, deal with, and make the most of one's current situation or circumstances; to make use of that which one is afforded or has available. ","2023-07-13",
When life gives you lemons make lemonade,"When life gives you lemons, make lemonade","Focus on the good in a bad situation and take action accordingly. ","2023-07-13",
Put a pin in it,Put a pin in it,"To take a break from discussing some topic, with plans to resume the discussion later. ","2023-07-13",
The cherry on top,Cherry on top,"The flourish that caps something off (much like a cherry tops off an ice cream sundae). Sometimes used in the phrase ""pretty please with a cherry on top."" ","2023-07-13",
Icing on the cake,The icing on the cake,"An additional benefit or positive aspect to something that is already considered positive or beneficial. ","2023-07-13",
The squeaky wheel gets the grease,The squeaky wheel gets the grease,"The person complaining or protesting the loudest or most frequently is the one who will receive the most attention from others. ","2023-07-13",
Raised nails get pounded,,,"2023-07-13",
Softer than a baby’s bottom,,,"2023-07-13",
Hell or high water,By hell or high water,"By any means necessary; regardless of any difficulty, problem, or obstacle. ","2023-07-13",
Stuck between a rock and a hard place,,,"2023-07-13",
Airing out your dirty laundry.,,,"2023-07-13",
Skeletons in your closet,Skeleton in the/(one's) closet,"An embarrassing or shameful secret. Primarily heard in US. ","2023-07-13",
Skating on thin ice,Skating on thin ice,"Engaged in some activity or behavior that is very risky, dangerous, or likely to cause a lot of trouble. ","2023-07-13",
Flying too close to the sun,Fly too close to the sun,"To do something especially ambitious and daring that can or ultimately does lead to one's own undoing or downfall. An allusion to the mythical figure Icarus, whose wings made of feathers and wax melted when he flew too close to the sun. ","2023-07-13","Eve"
Toot your own horn,Toot (one's) own horn,"To boast or brag about one's own abilities, skills, success, achievements, etc. ","2023-07-13",
Pat yourself on the back,,,"2023-07-13",
Catch more flies with honey than vinegar,You (can) catch more flies with honey than (with) vinegar,"You are more likely to get the results you want from other people if you treat them with kindness or flattery, rather than being aggressive, demanding, or caustic. ","2023-07-13","Eve"
Kill them with kindness,Kill (one) with kindness,"To harm, inconvenience, or bother one by treating them with excessive favor or kindness. The phrase originated as the expression ""kill with kindness as fond apes do their young,"" referring to the notion that such animals sometimes crushed their offspring by hugging them too hard. ","2023-07-13","Eve"
Eye for an eye makes the whole world blind,An eye for an eye makes the whole world blind,"No good will result from avenging injuries in a manner equal to the original offense. The expression, widely attributed to Mahatma Gandhi, refers to the Biblical saying ""an eye for an eye, a tooth for a tooth,"" which encourages vengeance that is equal to the original injury or offense. ","2023-07-13","Eve"
In the land of the blind the one eyed man is king,"In the land of the blind, the one-eyed man is king","Someone with few skills or abilities can impress and wield power over those who have even less to offer. ","2023-07-13","Eve"
That ship has sailed,That ship has sailed,"Some possibility or option is no longer available or likely. ","2023-07-13","Eve"
Two ships passing the night,,,"2023-07-13",
The pen is mightier than the sword,The pen is mightier than the sword,"Strong, eloquent, or well-crafted speech or writing is more influential on a greater number of people than force or violence. ","2023-07-13",
Double edged sword,Double-edged sword,"Something that can be both beneficial and problematic. ","2023-07-13","Miles"
I don’t have a dog in that fight,,,"2023-07-13",
"Spare the rod, spoil the child",,,"2023-07-13","Eve"
Like water off a ducks back,,,"2023-07-13","Eve"
The juice isn’t worth the squeeze,,,"2023-07-13","Miles"
Can’t get blood from a stone,You can't get blood from a stone,"It is impossible to obtain something from someone if they are too parsimonious, uncharitable, or resolved against it. ","2023-07-13","Miles"
Don’t judge a book by its cover,Don't judge a book by its cover,"Don't base your opinion of something (or someone) on the way it (or one) looks. ","2023-07-13",
You can’t step into the same river twice,,,"2023-07-13","Eve"
Don’t whistle up the wind,,,"2023-07-13",
Stick a fork in me,Stick a fork in (me/it/something),"A phrase used to indicate that one or something is finished, complete, or no longer able to continue. Alludes to the practice of testing how thoroughly a piece of meat is cooked by piercing it with a fork. ","2023-07-13",
This goose is cooked,(one's) goose is cooked,"One is thoroughly defeated, ruined, or finished.","2023-07-13","Eve"
You shake it more than twice you’re playing with it,,,"2023-07-13","Miles"
Why buy the cow when the milk is free,Why buy a/the cow when you can get (the) milk for free?,"If someone is already able to obtain some commodity or benefit freely or easily, then they won't be inclined to pay for the source of it.","2023-07-13",
Don’t rock the boat,Don't rock the boat,"Don't say or do something that could upset a stable situation. ","2023-07-13",
"If the shoe fits, wear it","If the shoe fits(, wear it)","If something (typically negative) applies to one, one should acknowledge it or accept responsibility or blame for it. ","2023-07-13",
