Order,Title,New_Title,Definition
7,Don’t keep all your eggs in one basket,,
14,Don’t piss on my leg and tell me it’s raining,,
16,If you can’t handle the heat get out of the kitchen,,
20,Cut from a different cloth,,
21,Don’t be a stick in the mud,,
23,Even the darkest storm cloud has a silver lining,,
24,Mess with a bull you get the horn,,
25,It’s always darkest before dawn,,
27,Time waits for no man,,
28,Even a broken clock is right twice a day,,
31,Mellow is the man who knows what he’s missing,,
34,Give a mouse a cookie and he’ll ask for a glass of milk,,
35,Give an inch and they take a mile,,
38,"Give a man a fish, feed him for a day; teach a man to fish, feed him for a lifetime",,
39,You can bring a horse to water but can’t make it drink,,
43,"Put lipstick on a pig, its still a pig",,
44,One step forward two steps back,,
46,Heavy is the head that wears the crown,,
59,Out of the frying pan and into the fire,,
61,Frog in boiling water,,
62,You gotta kiss a lot of frogs to find a prince,,
63,Bat out of hell,,
65,Bite off more then you can chew,,
68,Wish in one hand and shit in the other,,
69,All who wander are not lost,,
73,All holds barred,,
77,Two sides to to the same coin,,
84,Raised nails get pounded,,
85,Softer than a baby’s bottom,,
87,Stuck between a rock and a hard place,,
88,Airing out your dirty laundry.,,
93,Pat yourself on the back,,
99,Two ships passing the night,,
102,I don’t have a dog in that fight,,
103,"Spare the rod, spoil the child",,
104,Like water off a ducks back,,
105,The juice isn’t worth the squeeze,,
108,You can’t step into the same river twice,,
109,Don’t whistle up the wind,,
111,This goose is cooked,,
112,You shake it more than twice you’re playing with it,,
113,Why buy the cow when the milk is free,,
116,"If it walks like a duck, talks like duck, it’s probably a duck",,
120,A goose is as good as it’s gander,,
126,‘Till the cows come home,,
128,Missed the forest for the trees,,
130,6 in one hand half dozen in the other,,
138,I’m picking up what you’re putting down,,
140,Put you’re money where your mouth is?,,
143,The lights are on by nobody is home,,
145,Pay the pied piper,,
146,Got a screw loose,,
158,Cross your t’s dot your i’s,,
162,Put that in you’re pipe and smoke it,,
164,Put the axe to the grindstone,,
167,Not in the cards,,
170,I don’t have a horse in that race,,
175,Knocking on death’s door,,
176,Pushing daisies,,
180,It’s a small world after all,,
181,Smoke em if you got em,,
183,Pulled the short straw,,
184,Dear in headlights,,
188,Going hard in the paint,,
195,Don’t blow smoke up my ass,,
201,All down hill from here,,
203,Pushing rope,,
204,Blacker the berry sweeter the juice,,
207,It takes village to raise a child,,
208,Get on board,,
215,Don’t dip the pen in company ink,,
218,The Blood of the covenant is thicker than the water of the womb,,
221,Well runs dry,,
225,Not on the same page,,
230,Watch a pot it never boils,,
236,Like a fish in water,,
239,If you can’t beat ‘em join em,,
252,Sloppy seconds,,
253,Back in the fold,,
257,Balls of steel,,
258,Eyes too big for your stomach,,
259,Doe eyed,,
264,He’s lost his marbles,,
273,Tie a pork chop around it neck to get the dog to play with it,,
274,Color me pink,,
275,Like lemmings to the sea,,
279,Doesn’t fit the mold,,
283,When there’s a will there’s a way,,
285,Cut the chord,,
296,If it was a snake it would of bit you,,
298,Staring daggers,,
301,Comparison is the thief of joy,,
303,Going the way of the buffalo,,
305,The call is coming from inside the house,,
309,The whole 9 yards,,
312,Light a fire under your ass,,
316,Firing in all cylinders,,
323,The front lines,,
324,Don’t cry over spilt milk,,
325,Meat shield,,
326,Throw up a white flag,,
334,Throw it at the wall and see what sticks,,
335,Watch a pot it never boils,,
337,Head too big to fit in the door,,
340,Reading the writing in the wall,,
347,Hot on your tail,,
355,Picking up slack,,
360,Not all hero’s wear capes,,
365,Tables have turned,,
367,6 feet under,,
370,Paint with broad strokes,,
379,Opportunity is not a lengthy visitor,,
380,If you want to make an omelette you have to break some eggs.,,
381,Give ‘em enough rope to hang himself with,,
382,Kick them while they’re down,,
390,The bark is worse than the bite,,
393,Go touch grass,,
397,Taking candy from a baby,,
398,To flesh out,,
402,Take at at face value,,
405,On framing time,,
407,Don’t feed them after midnight,,
410,Slippery fish,,
412,Sit back and rest on your laurels,,
420,Kick the bucket,,
423,The clay is dry,,
424,Trail of bread crumbs,,
430,With out a pot to piss in or a window to throw it out of,,
431,Without a leg to stand in,,
436,Caught in the crosshairs,,
437,Target on you back,,
438,Price on your head,,
