title_old,title_new,definition
"Not my circus, not my monkeys","Not my circus, not my monkeys","This troublesome, burdensome, or volatile situation is none of my concern, and thus I refuse to get involved in it. A loan translation of the Polish idiom "
"Waiting with baited breath","Wait with bated breath",To remain in a state of eager anticipation (of or for something). 
Don’t hold your breath,Don't hold your breath,Don't expect something to happen. (The idea being that one couldn't hold one's breath long enough for the unlikely thing to happen.) 
People in glass houses shouldn’t throw stones,People (who live) in glass houses shouldn't throw stones.," People who are vulnerable to criticism should not criticize others, especially not for the faults that they themselves have (since such criticism will likely be returned). "
Don’t look a gift horse in the mouth,Don't look a gift horse in the mouth,"If you receive a gift, do so graciously, without voicing criticisms. The saying is attributed to St. Jerome and refers to the practice of looking at a horse's teeth to determine its age. "
Don’t count your chickens before they hatch,Don't count your chickens before they hatch.," Don't make plans based on future events, outcomes, or successes that might not come to pass. "
Don’t keep all your eggs in one basket,,
A bird in the hand is worth two in the bush,A bird in the hand is worth two in the bush, It is better to have something less valuable than to pursue something more valuable that may not be able to be obtained. 
There’s more than one way to skin a cat,There's more than one way to skin a cat, There are many methods one may employ in achieving one's ends. 
Let the cat out of the bag,Let the cat out of the bag,To reveal a secret. 
Open a can of worms,Open (up) a can of worms,"To initiate, instigate, or reveal a situation that is or is likely to become very complicated or problematic or that will have a negative outcome. "
Bull in a china shop,A bull in a china shop,Someone who is aggressively reckless and clumsy in a situation that requires delicacy and care. 
One trick pony,A one-trick pony,"A person, group, or thing that is known for or limited to only one unique or noteworthy skill, talent, ability, quality, area of success, etc. "
Don’t piss on my leg and tell me it’s raining,,
Too many chefs in the kitchen,Too many chefs in the kitchen,"Too many people are trying to control, influence, or work on something, with the quality of the final product suffering as a result. (A variation of the more common phrase, ""Too many chefs spoil the broth/stew/soup."") "
If you can’t handle the heat get out of the kitchen,,
Running on fumes,Running on fumes,"Continuing to operate with no or very little enthusiasm, energy, or resources left. A reference to a car that has nearly run out of fuel. "
One bad apple spoils the bunch,One bad apple spoils the (whole) bunch," It only takes one person, thing, element, etc., to ruin the entire group, situation, project, etc. Refers to the fact that a rotting apple can cause other apples in close proximity to begin to rot as well. "
The cream rises to the top,The cream (always) rises to the top,"Those with the most skill, the best work ethic, or the strongest moral character will inevitably find success in life. "
Cut from a different cloth,,
Don’t be a stick in the mud,,
Don’t rain on my parade,Don't rain on (one's) parade,Don't ruin one's plans or temper one's excitement. 
Even the darkest storm cloud has a silver lining,,
Mess with a bull you get the horn,,
It’s always darkest before dawn,,
When it rains it pours,"When it rains, it pours"," When something good or bad happens, similarly good or bad things tend to follow. "
Time waits for no man,,
Even a broken clock is right twice a day,,
For whom the bell tolls,Background,Ernest Hemingway wrote 
Make hay while the sun is shining,Make hay while the sun is shining,To take advantage of favorable conditions; to make the most of an opportunity when it is available. 
Mellow is the man who knows what he’s missing,,
Can’t teach an old dog new tricks,It's hard to teach an old dog new tricks,"It is exceptionally difficult to teach some new skill or behavior to someone, especially an older person, who is already firmly set in their ways. "
Hindsight’s 20/20,Hindsight is (always) 20/20,It is easier to clearly reevaluate past actions or decisions than when they are being made or done; things are clearer or more obvious when they are reflected upon. A reference to the visual acuity of normal eyesight (20/20 vision). 
Give a mouse a cookie and he’ll ask for a glass of milk,,
Give an inch and they take a mile,,
The more the merrier,The more the merrier,More people will make something more enjoyable. Often used to welcome one to join a group or activity. 
Measure twice cut once,"Measure twice, cut once",An axiom that encourages careful first steps in order to avoid extra work later on. 
"Give a man a fish, feed him for a day; teach a man to fish, feed him for a lifetime",,
You can bring a horse to water but can’t make it drink,,
One man’s trash is another man’s treasure,One man's trash is another man's treasure, What one person may consider worthless could be highly prized or valued by someone else. 
Burning the candle at both ends,Burn (one's)/the candle at both ends,"To overwork or exhaust oneself by doing too many things, especially both late at night and early in the morning. "
Polishing a turd,Polish a turd," To make something unpleasant seem more appealing than it really is—which is often a futile effort. ""Turd"" is a slang term for a piece of feces. "
"Put lipstick on a pig, its still a pig",,
One step forward two steps back,,
It’s not over till the fat lady sings,It ain't over till/until the fat lady sings,"The final outcome cannot be assumed or determined until a given situation, event, etc., is completely finished. (""Ain't"" is a colloquial contraction of ""is not."") The phrase refers to the stereotypically stout female sopranos of the opera, particularly the Valkyrie Brünnhilde, whose aria concludes Richard Wagner's opera cycle "
Heavy is the head that wears the crown,,
Pick your poison,Pick your poison,1. Tell me what alcoholic beverage you would like to drink. 
An axe to grind,An ax(e) to grind,1. A complaint or dispute that one feels compelled to discuss. 
Big shoes to fill,Big shoes to fill,A role vacated or left behind by someone who was exceptional in their performance and set very high standards as a result. 
The apple doesn’t fall far from the tree,The apple does not fall far from the tree,Said when someone is displaying traits or behaving in the same way as their relatives (especially parents). 
